ID,site,Longitude,Latitude,mgl_surface,depth_surface_m,mgl_5m,depth_5m,mgl_seafloor,depth_seafloor_m
1,Andrew1,-82.247450000,9.310471000,5.79,0.09,5.8,4.889,3.01,25.954
2,Andrew2,-82.246898000,9.230187000,5.45,0.064,2.74,4.758,1.72,12.526
3,Andrew3,-82.234850000,9.202206000,5.48,0.063,5.77,4.648,1.6,14.081
4,Blitz1,-82.255555000,9.345930000,5.23,0.09,4.66,2.831,4.66,2.831
5,Blitz10,-82.217917000,9.340444000,5.83,0.037,5.54,5.324,3.83,14.599
6,Blitz11,-82.218888889,9.334638889,5.16,0.029,4.95,4.789,3.76,17.287
7,Blitz12,-82.204778000,9.332556000,5.78,0.011,5.26,4.772,3.54,14.219
8,Blitz13,-82.173185000,9.319209000,5.59,0.107,4.83,4.546,3,10.438
9,Blitz14,-82.227167000,9.333417000,6.14,0.001,6.12,4.61,4.49,22.754
10,Blitz15,-82.220905000,9.310105000,5.98,0.048,6.02,4.976,2.1,23.495
11,Blitz16,-82.215167000,9.310250000,5.86,0.05,6.07,5.525,2.87,8.628
12,Blitz17,-82.208722222,9.307416667,5.8,0.075,5.75,4.65,2.91,16.149
13,Blitz18,-82.208417000,9.277056000,6.16,0.066,6.16,5.407,2.37,23.206
14,Blitz19,-82.146436000,9.246173000,6.02,0.041,5.65,4.716,3.94,12.906
15,Blitz2,-82.259861000,9.343611000,6.07,0.022,6.07,5.172,4.56,7.962
16,Blitz20,-82.117783000,9.261176000,5.56,0.11,5.63,4.757,5.55,18.073
17,Blitz22,-82.096336000,9.270086000,5.81,0.062,6.04,4.555,5.78,11.509
18,Blitz23,-82.103306000,9.243306000,6.17,0.101,6.14,5.005,6.76,6.235
19,Blitz24,-82.110639000,9.242583000,5.88,0.023,6,5.586,5.44,16.798
20,Blitz25,-82.112111000,9.236028000,6.04,0.076,5.52,5.368,5.53,7.664
21,Blitz26,-82.164611000,9.208556000,6.21,0.103,5.18,4.934,4.55,9.642
22,Blitz27,-82.169002000,9.175963000,6.07,0.039,5.52,4.538,4.33,7.923
23,Blitz28,-82.190222000,9.225250000,6.13,0.039,6.09,4.4,4.37,6.953
24,Blitz29,-82.208028000,9.234278000,5.54,0.004,4.97,4.681,1.56,19.837
25,Blitz3,-82.254083333,9.327638889,6.06,0.057,6.12,5.076,3.67,21.88
26,Blitz30,-82.235561000,9.218414000,5.43,0.13,5.5,5.08,2.42,11.045
27,Blitz31,-82.225777778,9.246305556,5.46,0.083,2.45,4.991,0.59,8.469
28,Blitz32,-82.232972000,9.255556000,5.99,0.049,5.64,5.465,4.62,6.77
29,Blitz33,-82.239944444,9.261777778,5.89,0.122,5.41,5.439,3.97,7.863
30,Blitz34,-82.231389000,9.284056000,6.23,0.11,6.14,5.065,1.8,25.657
31,Blitz35,-82.245944000,9.281111000,5.92,0.145,5.73,4.887,5.63,5.538
32,Blitz36,-82.253583333,9.289861111,6.05,1.598,6.07,4.615,4.98,7.624
33,Blitz37,-82.266694000,9.300111000,5.87,0.201,5.95,5.062,4.54,18.936
34,Blitz4,-82.246441000,9.338258000,4.4,0.019,3.87,4.097,3.87,4.097
35,Blitz5,-82.237224000,9.345009000,5.68,0.071,5.69,1.509,5.69,1.509
36,Blitz6,-82.248151000,9.352892000,5.45,0.029,5.47,3.276,5.49,3.277
37,Blitz7,-82.233881000,9.396149000,5.91,0.03,5.95,5.155,5.77,7.669
38,Blitz8,-82.211083000,9.386917000,5.62,0.044,5.7,5.434,5.44,18.262
39,Blitz9,-82.216806000,9.366139000,5.81,0.031,5.21,5.232,5.07,11.194
40,Blitz39-night,-82.29857000,9.30445000,5.51,0.818,5.24,5.016,1.32,24.203
41,Blitz40,-82.30012000,9.25982000,5.28,0.888,4.59,4.296,1.23,18.324
42,Blitz41-night,-82.30720000,9.25786000,5.29,0.798,3.02,5.212,0.28,27.233
43,Blitz42,-82.32457000,9.25727000,5.51,2.171,4.14,5.502,0.26,27.569
44,Blitz43,-82.33453000,9.24028000,5.35,0.846,3.09,5.56,0.39,19.291
45,Blitz44,-82.29658000,9.24010000,4.89,0.63,2.3,4.622,0.31,18.328
46,Blitz45,-82.29530000,9.22088000,5.48,0.656,2.11,5.066,0.22,20.419
47,Blitz46,-82.26530000,9.19478000,5.45,0.161,1.35,5.273,0.22,14.275
48,Blitz48,-82.32588000,9.21697000,5.46,0.148,2.8,4.676,0.23,19.107
49,Blitz49,-82.32701000,9.20983000,5.62,0.105,2.73,5.099,0.2,25.716
50,Blitz50,-82.33498000,9.19971000,5.58,0.584,1.9,5.04,0.25,17.723
51,Blitz51,-82.35110000,9.21431000,5.59,0.378,1.47,5.027,0.21,16.567
52,Blitz52-night,-82.34013000,9.22103000,5.71,0.164,2.28,4.997,0.2,21.511
53,Blitz52c,-82.35870000,9.24044000,5.58,0.233,1.31,4.729,0.2,23.263
54,Blitz53-night,-82.36204000,9.26161000,4.73,0.995,4.24,5.508,0.21,22.914
55,Blitz54a,-82.38882000,9.27092000,4.04,0.598,1.92,5.193,0.24,12.391
56,Blitz54b,-82.39347000,9.27020000,3.91,0.208,1.55,4.363,0.24,10.484
57,Blitz55,-82.38930000,9.27991000,4.62,0.184,3.78,4.95,0.22,12.655
58,Blitz56,-82.34429000,9.28767000,4.82,0.819,4.16,5.093,1.04,20.489
59,Blitz57,-82.34254000,9.28924000,5.38,0.82,3.94,5.491,1.63,15.467
60,Blitz58a,-82.33762000,9.29164000,5.28,0.848,4.97,4.698,4.97,4.698
61,Blitz58b,-82.32037000,9.29115000,5.26,0.558,5.25,3.533,5.25,3.533
62,Blitz59,-82.34264000,9.32245000,6.08,0.884,5.78,5.542,3.94,17.48
63,Blitz60,-82.32491000,9.34980000,6.24,0.189,6.32,5.157,5.29,17.248
64,Blitz61,-82.37012000,9.35481000,6.26,0.657,5.75,4.914,4.98,7.293
65,Blitz62,-82.34642873,9.39464039,6.13,0.841,6.23,5.072,6.23,8.201
66,Blitz63,-82.33929000,9.42254000,6.26,0.119,6.28,5.045,6.14,24.313
67,Blitz65,-82.32563000,9.40259000,6.22,0.69,6.08,4.979,5.89,10.934
68,Blitz66,-82.30946000,9.38319000,6.24,0.003,6.27,5.503,5.94,14.339
69,Blitz67,-82.29944000,9.37323000,6.05,0.787,6.14,5.102,4.53,17.013
70,Blitz68,-82.29417000,9.36794000,6.25,0.173,6.37,5.124,4.48,18.667
71,Blitz70,-82.28223000,9.36163000,6.05,0.623,6.4,4.997,1.86,20.585
72,Blitz72-night,-82.29553000,9.33551000,5.84,0.748,5.77,4.756,5.62,21.808
73,Blitz73,-82.26883000,9.35367000,6.55,0.234,6,4.944,3.42,20.126
74,Blitz74,-82.26642000,9.35145000,6.49,0.69,6.05,5.017,3.35,17.714
75,Blitz75-night,-82.26585000,9.34862000,6.36,0.852,6.15,5.267,2.48,23.397
76,Blitz77,-82.26019000,9.34999000,6.11,0.928,6.02,5.269,3.15,19.038
77,Blitz78-night,-82.25771000,9.35093000,6.32,0.112,6.59,1.815,6.59,1.815
78,Andrew4,-82.27530700,9.21150400,5.25,0.076,1.18,5.621,0.21,21.574
79,Andrew5,-82.31946300,9.31206700,5.26,0.937,5.97,5.029,5.29,21.818
80,Andrew6,-82.33251100,9.27909800,5.53,0.68,5.04,5.361,0.33,25.564
81,Andrew7,-82.36358800,9.33465500,6.17,0.602,5.92,5.044,3.98,13.95
82,Andrew8,-82.34782400,9.36225500,6.2,0.08,6.05,4.956,4.35,15.981
83,BlitzNew1,-82.32157500,9.220143,5.26,0.822,4.34,5.018,1.13,16.89
